Project ID,Project Name,Implementing Agency,Program,Project Description,Total Cost,SB 1 Funds,Fiscal Year,Is SB 1?,Project Status,Assembly Districts,Senate Districts,Counties,Cities,Caltrans Districts,Is on SHS?,Date Updated
'1217000114,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,"A $3.04 million dollar project in Orange County on Route 1 will improve safety by modifying the traffic signals, adding safety lighting, refreshing pavement striping, and upgrading pedestrian facilities to Americans with Disabilities Act (ADA) standards.",3041000,0,21/22,N,In Progress,74,37,Orange,"Huntington Beach, Newport Beach",12,Y,12/8/2021
'1219000098,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $14.26 million dollar project in Orange County on Route 1 will construct and upgrade bicycle facilities to improve safety.,14255000,0,24/25,N,Planned,"72, 74","34, 37",Orange,"Huntington Beach, Newport Beach, Seal Beach",12,Y,12/8/2021
'1214000116,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $3.34 million dollar project in Orange County on Route 1 will modify traffic signals and install additional lighting.,3338131,0,20/21,N,Completed,"72, 74","34, 37",Orange,"Huntington Beach, Seal Beach",12,Y,12/8/2021
'1220000007,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $1.06 million dollar project in Orange County on Route 241 will repair pavement.,1064214,0,19/20,N,Completed,68,37,Orange,Irvine,12,Y,12/8/2021
'1212000052,Operational Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $9.06 million dollar project in Orange County on Route 405 will construct southbound auxiliary lanes.,9055160,0,20/21,N,Completed,74,37,Orange,Irvine,12,Y,12/8/2021
'1214000076,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $3.27 million dollar project in Orange County on Route 5 will overlay pavement with Open Graded Asphalt Concrete (OGAC) and install Midwest Guardrail System (MGS).,3271730,0,19/20,N,Completed,"68, 74",37,Orange,Irvine,12,Y,12/8/2021
'1214000130,Operational Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $29.12 million dollar project in Orange County on Route 133 will construct a new auxiliary lane to improve traffic flow.,29117000,0,22/23,N,Planned,"68, 74",37,Orange,Irvine,12,Y,12/8/2021
'1214000077,Collision Severity Reduction,Caltrans,State Hwy Operations & Protection Program Major,"A $16.84 million dollar project in Orange County on Route 133 will flatten steep embankments, replace and upgrade guardrail and terminal systems, install thrie-beam median barrier and replace K-rail with concrete barrier.",16839000,0,19/20,N,In Progress,"68, 74",37,Orange,"Irvine, Laguna Beach",12,Y,12/8/2021
'1214000123,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,"A $12.68 million dollar project in Orange County on Route 73 will widen ramp, install traffic signal and guardrail.",12675000,0,20/21,N,In Progress,74,37,Orange,"Irvine, Newport Beach",12,Y,12/8/2021
'1213000143,Transportation Management Systems,Caltrans,State Hwy Operations & Protection Program Major,"A $2.81 million dollar project in Orange County on Route 5 will upgrade existing fiber optic communication system, closed circuit television and electronic equipment.",2813154,897043,19/20,Y,Completed,"68, 69, 74","34, 37",Orange,"Irvine, Santa Ana, Tustin",12,Y,12/8/2021
'1216000091,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $1.08 million dollar project in Orange County on Route 261 will install double thrie-beam barrier to prevent cross-median collisions.,1080411,0,19/20,N,Completed,68,37,Orange,"Irvine, Tustin",12,Y,12/8/2021
'1216000122,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $1.41 million dollar project in Orange County on Route 39 will modify traffic signal and add lighting.,1412898,0,20/21,N,Completed,55,29,Orange,La Habra,12,Y,12/8/2021
'1214000115,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,"A $1.51 million dollar project in Orange County on Route 73 will modify superelevation, install drainage inlets, place Open Graded Asphalt Concrete (OGAC) and place pavement delineation.",1508507,0,20/21,N,Completed,74,37,Orange,Laguna Beach,12,Y,12/8/2021
'1214000124,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $1.87 million dollar project in Orange County on Route 133 will extend the northbound lane reduction transition.,1866136,0,19/20,N,Completed,74,37,Orange,Laguna Beach,12,Y,12/8/2021
'1213000086,Bridge Major Rehabilitation,Caltrans,State Hwy Operations & Protection Program Major,A $5.75 million dollar project in Orange County on Route 1 will replace bridge.,5745517,3556090,21/22,Y,Completed,74,37,Orange,Laguna Beach,12,Y,12/8/2021
'1213000186,Storm Water Mitigation,Caltrans,State Hwy Operations & Protection Program Major,A $1.32 million dollar project in Orange County on Route 1 will storm water mitigation.,1315531,0,17/18,N,Completed,74,37,Orange,Laguna Beach,12,Y,12/8/2021
'1216000003,Americans with Disabilities Act New Curb Ramps,Caltrans,State Hwy Operations & Protection Program Major,"A $25.47 million dollar project in Orange County on Route 1 will upgrade existing curb ramps, sidewalks, and driveways to Americans with Disabilities Act (ADA) standards.",25466000,0,22/23,N,Planned,74,37,Orange,Laguna Beach,12,Y,12/8/2021
'1217000076,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,"A $32.99 million dollar project in Orange County on Route 133 will roadway widening, restriping and drainage work.",32989000,301300,20/21,Y,In Progress,74,37,Orange,Laguna Beach,12,Y,12/8/2021
'1215000009,Drainage System Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $2.35 million dollar project in Orange County on Route 1 will rehabilitate drainage system.,2349490,1498788,19/20,Y,Completed,74,37,Orange,Newport Beach,12,Y,12/8/2021
'1215000158,Storm Water Mitigation,Caltrans,State Hwy Operations & Protection Program Major,A $2.61 million dollar project in Orange County on Route 1 will restore bioswales.,2608000,0,20/21,N,In Progress,74,37,Orange,Newport Beach,12,Y,12/8/2021
'1218000049,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,"A $4.07 million dollar project in Orange County on Route 55 will improve safety by modifying existing traffic signals for improved visibility, adding safety lighting, refreshing pavement markings, and upgrading curb ramps to Americans with Disabilities Act (ADA) standards.",4070000,0,22/23,N,Planned,68,37,Orange,Orange,12,Y,12/8/2021
'1216000129,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,"A $11.02 million dollar project in Orange County on Route 22 will replace median barrier, add safety lighting and improve drainage.",11017000,0,21/22,N,Planned,"68, 69","34, 37",Orange,"Orange, Santa Ana",12,Y,12/8/2021
'1219000104,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,"A $12.37 million dollar project in Orange County on Route 22 will restripe lanes to provide for safer merging, widen to extend auxiliary lane, add and upgrade signs, and add safety lighting.",12369000,0,24/25,N,Planned,"68, 69","34, 37",Orange,"Orange, Santa Ana",12,Y,12/8/2021
'1214000053,Roadside Safety Improvements/Freeway Maintenance Access,Caltrans,State Hwy Operations & Protection Program Major,A $2.24 million dollar project in Orange County on Route 55 will roadside safety improvements.,2238487,0,19/20,N,Completed,"68, 69","34, 37",Orange,"Orange, Santa Ana, Tustin",12,Y,12/8/2021
'1213000194,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,"A $2.32 million dollar project in Orange County on Route 241 will improve corner sight distance on the off ramp and improve the vertical curve, cross slope, drainage and overlay open grade asphalt concrete on the on ramp.",2316888,0,19/20,N,Completed,73,36,Orange,Rancho Santa Margarita,12,Y,12/8/2021
'1215000034,Storm Water Mitigation,Caltrans,State Hwy Operations & Protection Program Major,A $2.54 million dollar project in Orange County on Route 5 will reconstruct slopes and apply vegetation to control sediment transport.,2543742,0,21/22,N,Completed,73,36,Orange,San Juan Capistrano,12,Y,12/8/2021
'1220000014,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,"A $8.14 million dollar project in Orange County on Route 5 will add a second auxiliary lane, Changeable Message Sign (CMS), and overhead sign structures.",8142000,0,24/25,N,Planned,73,36,Orange,San Juan Capistrano,12,Y,12/8/2021
'1200020302,Americans with Disabilities Act New Curb Ramps,Caltrans,State Hwy Operations & Protection Program Major,A $4.2 million dollar project in Orange County on Route 74 will upgrade pedestrian facilities to meet current Americans with Disabilities Act (ADA) standards.,4200753,0,20/21,N,Completed,73,36,Orange,San Juan Capistrano,12,Y,12/8/2021
'1214000054,Roadside Safety Improvements/Freeway Maintenance Access,Caltrans,State Hwy Operations & Protection Program Major,A $2.21 million dollar project in Orange County on Route 5 will roadside safety improvements.,2212331,0,21/22,N,Completed,69,34,Orange,Santa Ana,12,Y,12/8/2021
'1214000073,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $1.54 million dollar project in Orange County on Route 55 will modify traffic signals and install additional lighting.,1538326,0,20/21,N,Completed,"68, 69","34, 37",Orange,"Santa Ana, Tustin",12,Y,12/8/2021
'1219000043,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $0.22 million dollar project in Orange County on Route 5 will repair precast wall panels.,217468,0,18/19,N,Completed,"68, 69","34, 37",Orange,"Santa Ana, Tustin",12,Y,12/8/2021
'1217000112,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,"A $10.22 million dollar project in Orange County on Route 5 will cold plane existing asphalt concrete, overlay with Open Graded Friction Course (OGFC), and apply High Friction Surface Treatment (HFST).",10219000,0,21/22,N,Planned,"68, 69","34, 37",Orange,"Santa Ana, Tustin",12,Y,12/8/2021
'0813000047,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $62.6 million dollar project in Riverside County on Route 74 will widen for standard lane widths and shoulders and construct ground-in rumble strips.,62601000,0,20/21,N,In Progress,"67, 73","28, 36","Orange, Riverside",,8,Y,12/8/2021
'0819000090,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,"A $115.47 million dollar project in Riverside County on Route 74 will widen roadway to provide a two-foot median buffer and four-foot shoulders, install rumble strips, upgrade guardrail, and re-grade side slopes.",115474000,0,24/25,N,Planned,"67, 73","28, 36","Orange, Riverside",Lake Elsinore,8,Y,12/8/2021
'0818000061,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,"A $0.79 million dollar project in Riverside County on Route 91 will repair embankment and replace MBGR, and culverts.",788957,0,17/18,N,Completed,"55, 60, 68","29, 31, 37","Orange, Riverside, San Bernardino","Anaheim, Chino Hills, Corona",8,Y,12/8/2021
'1220000027,Transportation Management Systems,Caltrans,State Hwy Operations & Protection Program Major,"A $2.04 million dollar project in Orange County on Route 91 will upgrade Transportation Management System (TMS) elements, rehabilitate culverts, upgrade lighting, and make highway worker safety improvements.(G13 Contingency)",2041000,227106,24/25,Y,Planned,"55, 60, 68","29, 31, 37","Orange, Riverside, San Bernardino","Anaheim, Chino Hills, Corona, Yorba Linda",12,Y,12/8/2021
'1213000196,Pavement Rehabilitation,Caltrans,State Hwy Operations & Protection Program Major,A $16.59 million dollar project in Orange County on Route 91 will pavement rehabilitation.,16593000,1903110,19/20,Y,In Progress,"55, 60, 68","29, 31, 37","Orange, Riverside, San Bernardino","Anaheim, Chino Hills, Corona, Yorba Linda",12,Y,12/8/2021
'1218000065,Roadway Rehabilitation,Caltrans,State Hwy Operations & Protection Program Major,A $6.01 million dollar project in Orange County on Route 5 will pavement rehabilitation and upgrade safety devices.(G13 Contingency),6011000,6011000,21/22,Y,Planned,"73, 76",36,"Orange, San Diego",San Clemente,12,Y,12/8/2021
'0316000049,Drainage System Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $4.83 million dollar project in Placer County on Route 80 will rehabilitate drainage systems.,4828000,4608000,20/21,Y,In Progress,1,1,Placer,,3,Y,12/8/2021
'0321000161,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,"A $0.31 million dollar project in Placer County on Route 28 will place green bike lane treatment or High Friction Surface Treatment (HFST), install recessed striping, rectangular flashing beacons, and signs, and construct curb ramps.",309000,0,22/23,N,Planned,1,1,Placer,,3,Y,12/8/2021
'0319000184,Pavement Rehabilitation,Caltrans,State Hwy Operations & Protection Program Major,"A $24.56 million dollar project in Placer County on Route 28 will rehabilitate pavement, rehabilitate drainage systems, and upgrade facilities to Americans with Disabilities Act (ADA) standards.",24561000,1181336,23/24,Y,Planned,1,1,Placer,,3,Y,12/8/2021
'0319000035,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,"A $0.98 million dollar project in Placer County on Route 89 will repair slopes, drainage systems, and failed culverts.",980860,0,18/19,N,Completed,1,1,Placer,,3,Y,12/8/2021
'0314000086,Drainage System Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $2.64 million dollar project in Placer County on Route 80 will drainage system rehabilitation.,2636828,938166,19/20,Y,Completed,1,1,Placer,,3,Y,12/8/2021
'0318000112,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,"A $0.1 million dollar project in Placer County on Route 65 will repair eroded embankment, replace asphalt dike, and repair roadway.",103921,0,17/18,N,Completed,6,4,Placer,,3,Y,12/8/2021
'0318000307,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $0.33 million dollar project in Placer County on Route 80 will repair failed culverts.,327664,0,18/19,N,Completed,1,1,Placer,,3,Y,12/8/2021
'0318000017,Roadway Rehabilitation,Caltrans,State Hwy Operations & Protection Program Major,"A $10.5 million dollar project in Placer County on Route 80 will rehabilitate roadway, construct truck climbing lanes in eastbound direction, widen shoulders, replace or widen structures, upgrade median barrier and Transportation Management System (TMS) elements.(G13 Contingency)",10500000,458800,24/25,Y,Planned,1,1,Placer,,3,Y,12/8/2021
'0319000004,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $36.02 million dollar project in Placer County on Route 49 will construct concrete median barrier and two roundabouts.,36020000,0,22/23,N,Planned,"01, 06",1,Placer,,3,Y,12/8/2021
'0316000077,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $11.86 million dollar project in Placer County on Route 49 will realign roadway and construct roundabout.,11861000,0,21/22,N,Planned,5,1,Placer,Auburn,3,Y,12/8/2021
'0300020616,Roadway Rehabilitation,Caltrans,State Hwy Operations & Protection Program Major,A $48.17 million dollar project in Placer County on Route 049 will hMA overlay.,48169000,4717761,18/19,Y,In Progress,"01, 05",1,Placer,Auburn,3,Y,12/8/2021
'0318000306,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $1.5 million dollar project in Placer County on Route 80 will repair and replace failed culvert.,1496066,0,18/19,N,Completed,"01, 05, 06","01, 04",Placer,"Auburn, Colfax, Loomis, Lincoln, Rocklin, Roseville",3,Y,12/8/2021
'0316000177,Roadside Enhancement,Caltrans,State Hwy Operations & Protection Program Major,"A $2.67 million dollar project in Placer County on Route 65 will advance mitigation construction (4 acres) for future SHOPP projects expected to impact wetland, riparian and to other waters.",2669000,0,21/22,N,Planned,"01, 05, 06","01, 04",Placer,"Auburn, Colfax, Loomis, Lincoln, Rocklin, Roseville",3,Y,12/8/2021
'0318000038,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $2.01 million dollar project in Placer County on Route 80 will repair embankment and install geostabilization.,2011347,0,18/19,N,Completed,"01, 05, 06","01, 04",Placer,"Auburn, Colfax, Loomis, Lincoln, Rocklin, Roseville",3,Y,12/8/2021
'0315000164,Transportation Management Systems,Caltrans,State Hwy Operations & Protection Program Major,A $3.26 million dollar project in Placer County on Route 80 will upgrade Extinguishable Message Signs (EMS) to LED.,3259000,2523500,19/20,Y,In Progress,"01, 05, 06","01, 04",Placer,"Auburn, Colfax, Loomis, Lincoln, Rocklin, Roseville",3,Y,12/8/2021
'0319000129,Maintenance Facilities,Caltrans,State Hwy Operations & Protection Program Major,A $5.69 million dollar project in Placer County on Route 89 will demolish existing employee housing and construct new dormitory building.,5690000,0,22/23,N,Planned,"01, 05, 06","01, 04",Placer,"Auburn, Colfax, Loomis, Lincoln, Rocklin, Roseville",3,Y,12/8/2021
'0318000177,Permanent Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $9.87 million dollar project in Placer County on Route 80 will install concrete gutter to repair shoulder damage at various locations.,9872901,0,20/21,N,Completed,"01, 05, 06","01, 04",Placer,"Auburn, Colfax, Loomis, Lincoln, Rocklin, Roseville",3,Y,12/8/2021
'0320000036,Permanent Restoration,Caltrans,State Hwy Operations & Protection Program Major,"A $1.82 million dollar project in Placer County on Route 80 will restore the structural integrity of storm damaged rockfall retention systems by replacing posts and base plates, and installing new ground anchors.",1817516,0,21/22,N,Completed,"01, 05, 06","01, 04",Placer,"Auburn, Colfax, Loomis, Lincoln, Rocklin, Roseville",3,Y,12/8/2021
'0318000019,Roadway Rehabilitation,Caltrans,State Hwy Operations & Protection Program Major,"A $76.86 million dollar project in Placer County on Route 80 will rehabilitate roadway, construct truck climbing lane, replace or widen structures, upgrade median concrete barrier, sign panels, and Transportation Management System (TMS) elements, and rehabilitate drainage systems.",76860000,344100,23/24,Y,Planned,"01, 05, 06","01, 04",Placer,"Auburn, Colfax, Loomis, Lincoln, Rocklin, Roseville",3,Y,12/8/2021
'0318000196,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $0.58 million dollar project in Placer County on Route 80 will replace failed culvert and repair sinkhole.,581858,0,17/18,N,Completed,1,1,Placer,Colfax,3,Y,12/8/2021
'0300020597,Drainage System Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $2.06 million dollar project in Placer County on Route 80 will rehabilitate culvert.,2056567,0,18/19,N,Completed,1,1,Placer,Colfax,3,Y,12/8/2021
'0300020600,Drainage System Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $4.29 million dollar project in Placer County on Route 80 will drainage system rehabilitation.,4286435,3172832,21/22,Y,Completed,1,1,Placer,Colfax,3,Y,12/8/2021
'0318000332,Permanent Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $1.89 million dollar project in Placer County on Route 65 will repair slopes and abutment erosion damage by placing Rock Slope Protection (RSP) and other erosion control measures.,1891136,0,21/22,N,Completed,6,1,Placer,Lincoln,3,Y,12/8/2021
'0318000331,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $2.63 million dollar project in Placer County on Route 65 will apply High Friction Surface Treatment (HFST) and Open Graded Asphalt Concrete (OGAC) at various ramp locations.,2625367,0,20/21,N,Completed,6,"01, 04",Placer,"Lincoln, Rocklin, Roseville",3,Y,12/8/2021
'0317000247,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $48.98 million dollar project in Placer County on Route 065 will provide an auxiliary lane for WB I-80 connector traffic entering NB SR 65.,48975879,0,19/20,N,Completed,6,"01, 04",Placer,"Rocklin, Roseville",3,Y,12/8/2021
'0315000174,Operational Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $11.93 million dollar project in Placer County on Route 80 will install ramp meters and widen ramp for storage capacity.,11930000,0,20/21,N,In Progress,6,4,Placer,Roseville,3,Y,12/8/2021
'0318000125,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,"A $0.55 million dollar project in Placer County on Route 80 will reconstruct eroded embankment, repair drainage systems, and repair roadway.",550434,0,18/19,N,Completed,"01, 05, 06, 08","01, 04","Placer, Sacramento","Auburn, Colfax, Citrus Heights, Loomis, Rocklin, Roseville",3,Y,12/8/2021
'0315000204,Transportation Management Systems,Caltrans,State Hwy Operations & Protection Program Major,A $16.27 million dollar project in Sacramento County on Route 80 will install fiber optic communication line.,16269000,1725000,19/20,Y,In Progress,"06, 07, 08","04, 06","Placer, Sacramento, Yolo","Citrus Heights, Roseville, Sacramento, West Sacramento",3,Y,12/8/2021
'0215000050,Drainage System Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $6.2 million dollar project in Plumas County on Route 70 will drainage rehabilitation.,6201000,4912000,20/21,Y,In Progress,1,1,Plumas,,2,Y,12/8/2021
'0216000043,Roadside Safety Improvements/Freeway Maintenance Access,Caltrans,State Hwy Operations & Protection Program Major,A $3.19 million dollar project in Plumas County on Route 70 will upgrade rock fall fence to reduce maintenance and highway worker exposure.,3194000,0,20/21,N,In Progress,1,1,Plumas,,2,Y,12/8/2021
'0215000017,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $4.29 million dollar project in Plumas County on Route 70 will curve Improvement.,4294811,0,19/20,N,Completed,1,1,Plumas,,2,Y,12/8/2021
'0219000145,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $8.66 million dollar project in Plumas County on Route 36 will construct roundabout.,8658000,0,23/24,N,Planned,1,1,Plumas,,2,Y,12/8/2021
'0219000090,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $0.28 million dollar project in Plumas County on Route 70 will repair roadway settlement.,276400,0,18/19,N,Completed,1,1,Plumas,,2,Y,12/8/2021
'0218000158,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $0.41 million dollar project in Plumas County on Route 70 will repair and stabilize roadway.,406455,0,18/19,N,Completed,1,1,Plumas,,2,Y,12/8/2021
'0218000008,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $0.66 million dollar project in Plumas County on Route 70 will construct soldier pile tie back wall in front offailing historic rock wall.,655641,0,17/18,N,Completed,1,1,Plumas,,2,Y,12/8/2021
'0218000068,Pavement Rehabilitation,Caltrans,State Hwy Operations & Protection Program Major,"A $19.84 million dollar project in Plumas County on Route 70 will rehabilitate pavement, add intersection lighting, upgrade signs and guardrail, and rehabilitate drainage systems.",19841000,89466,23/24,Y,Planned,1,1,Plumas,,2,Y,12/8/2021
'0200000022,Bridge Seismic Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $12.6 million dollar project in Plumas County on Route 89 will replace bridge.,12601554,0,18/19,N,Completed,1,1,Plumas,,2,Y,12/8/2021
'0222000008,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,"A $1.28 million dollar project in Plumas County on Route 284 will repair culverts and pavement, remove hazardous trees, and replace guardrails, fencing, delineation, and signs.",1280000,0,21/22,N,In Progress,1,1,Plumas,,2,Y,12/8/2021
'0218000028,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $2.33 million dollar project in Plumas County on Route 70 will reconstructroadway surface and Metal Beam Guard Rail (MBGR).,2330755,0,17/18,N,Completed,1,1,Plumas,,2,Y,12/8/2021
'0222000010,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,"A $13.3 million dollar project in Plumas County on Route 70 will repair culverts, remove hazardous trees, rocks and debris, and replace guardrails and signs.",13300000,0,21/22,N,In Progress,1,1,Plumas,,2,Y,12/8/2021
'0218000070,Pavement Rehabilitation,Caltrans,State Hwy Operations & Protection Program Major,"A $12.79 million dollar project in Plumas County on Route 89 will rehabilitate pavement, upgrade guardrail, replace Transportation Management System (TMS) elements and signs, rehabilitate drainage systems, and construct a Maintenance Vehicle Pullout (MVP).",12793000,670000,24/25,Y,Planned,1,1,Plumas,,2,Y,12/8/2021
'0216000024,Roadway Rehabilitation,Caltrans,State Hwy Operations & Protection Program Major,"A $10. million dollar project in Plumas County on Route 70 will rehabilitate roadway, repair or replace culverts, upgrade guardrail, upgrade bridge railing at Humbug Creek Bridge No. 09-0022, and make pedestrian facilities Americans with Disabilities Act (ADA) compliant. (G13 Contingency)",10002000,9091000,22/23,Y,Planned,1,1,Plumas,Portola,2,Y,12/8/2021
'0215000086,Roadway Rehabilitation,Caltrans,State Hwy Operations & Protection Program Major,A $19.69 million dollar project in Plumas County on Route 70 will roadway rehabilitation.,19687506,2060118,19/20,Y,Completed,1,1,Plumas,Portola,2,Y,12/8/2021
'0222000013,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,"A $1.3 million dollar project in Plumas County on Route 70 will remove rockfall, and repair damaged hangers and steel structure.",1300000,0,21/22,N,In Progress,1,1,Plumas,Portola,2,Y,12/8/2021
'0218000010,Roadway Rehabilitation,Caltrans,State Hwy Operations & Protection Program Major,"A $4.59 million dollar project in Plumas County on Route 89 will rehabilitate roadway, upgrade guardrail and signs, rehabilitate drainage systems, and construct 3.7 miles of Class I bike lanes as complete streets.(G13 Contingency)",4592000,173197,24/25,Y,Planned,1,1,Plumas,Portola,2,Y,12/8/2021
'0815000062,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $1.43 million dollar project in Riverside County on Route 371 will construct rumble strips.,1425066,0,17/18,N,Completed,71,28,Riverside,,8,Y,12/8/2021
'0820000010,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $1.98 million dollar project in Riverside County on Route 10 will replace water treatment system.,1976881,0,20/21,N,Completed,56,28,Riverside,,8,Y,12/8/2021
'0819000006,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,"A $3.49 million dollar project in Riverside County on Route 74 will repair fire damaged slopes, fence, pavement, drainage systems, remove debris and trees.",3488488,0,20/21,N,Completed,71,28,Riverside,,8,Y,12/8/2021
'0819000030,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $3.56 million dollar project in Riverside County on Route 10 will repair roadway washout and erosion.,3559870,0,20/21,N,Completed,56,28,Riverside,,8,Y,12/8/2021
'0818000193,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $0.28 million dollar project in Riverside County on Route 10 will repair damaged pavement and guardrail.,276526,0,18/19,N,Completed,56,28,Riverside,,8,Y,12/8/2021
'0818000178,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,"A $0.71 million dollar project in Riverside County on Route 74 will restore embankment, replace failed culvert, repair pavement, and reconstruct guardrail.",705191,0,18/19,N,Completed,71,28,Riverside,,8,Y,12/8/2021
'0819000008,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $0.85 million dollar project in Riverside County on Route 10 will abandon existing water well and drill new well.,845043,0,19/20,N,Completed,56,28,Riverside,,8,Y,12/8/2021
'0819000024,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $0.91 million dollar project in Riverside County on Route 243 will replace failed culvert.,907795,0,19/20,N,Completed,71,28,Riverside,,8,Y,12/8/2021
'0821000145,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $1.78 million dollar project in Riverside County on Route 74 will repair fire damaged facilities.,1775000,0,21/22,N,Planned,71,28,Riverside,,8,Y,12/8/2021
'0817000182,Permanent Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $6.38 million dollar project in Riverside County on Route 74 will permanent restoration of slope erosion and drainage systems.,6376000,0,21/22,N,In Progress,71,28,Riverside,,8,Y,12/8/2021
'0815000218,Safety Roadside Rest Area Restoration,Caltrans,State Hwy Operations & Protection Program Major,A $39.46 million dollar project in Riverside County on Route 10 will reconstruct and upgrade eastbound and westbound SRRA facilities.,39464000,0,24/25,N,Planned,56,28,Riverside,,8,Y,12/8/2021
'0814000087,Bridge Preventative Maintenance,Caltrans,State Hwy Operations & Protection Program Major,A $1.86 million dollar project in Riverside County on Route 10 will repair bridge decks.,1860414,551951,19/20,Y,Completed,56,28,Riverside,,8,Y,12/8/2021
'0818000175,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,"A $2.34 million dollar project in Riverside County on Route 62 will widen shoulders to 8 feet, install shoulder and centerline rumble strips.",2343391,0,20/21,N,Completed,56,28,Riverside,,8,Y,12/8/2021
'0816000049,Safety Improvements,Caltrans,State Hwy Operations & Protection Program Major,A $80.43 million dollar project in Riverside County on Route 79 will construct shoulders and rumble strip.,80428000,0,23/24,N,Planned,71,28,Riverside,,8,Y,12/8/2021
'0816000001,Bridge Major Rehabilitation,Caltrans,State Hwy Operations & Protection Program Major,A $18.48 million dollar project in Riverside County on Route 74 will replace structures/upgrade rails.,18482000,3722000,22/23,Y,Planned,67,28,Riverside,,8,Y,12/8/2021
'0819000012,Major Damage Restoration,Caltrans,State Hwy Operations & Protection Program Major,"A $18.52 million dollar project in Riverside County on Route 74 will fire damage repairs; drainage/slope repair, rock scaling, erosion control, fencing, guardrail and sign replacement, remove trees and debris.",18524552,0,21/22,N,Completed,71,28,Riverside,,8,Y,12/8/2021
